1,2
2,2
3,2
4,4
5,4
6,4
7,2
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,2
17,2
18,2
19,2
20,4
21,4
22,4
23,1
24,1
25,1
26,4
27,4
28,4
29,4
30,4
31,4
32,2
33,2
34,2
35,4
36,4
37,4
38,4
39,4
40,4
41,4
42,4
43,4
44,1
45,1
46,1
47,1
48,1
49,4
50,4
51,4
52,4
53,4
54,4
55,4
56,2
57,2
58,2
59,2
60,2
61,2
62,1
63,1
64,1
65,2
66,2
67,2
68,2
69,2
70,2
71,1
72,1
73,1
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,4
85,4
86,4
87,4
88,4
89,4
90,4
91,4
92,4
93,4
94,2
95,2
96,4
97,4
98,4
99,4
100,4
101,2
102,2
103,2
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,2
120,2
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
